youtubeId,movieId,title,transcription
i0Ja-Ttm_5E,997,Caught (1996)," From acclaimed independent filmmaker Robert M. Young. Sorry, we're closed. I'm sorry, I didn't mean to bother you. Joe, I think this boy's sick. What do you want to do, take him home with us? Into their world. It's just what the doctor ordered. Just a kid off the street. He brought friendship. Rhythm, rhythm. You wear pajamas? Yeah, sometimes. Okay, wear them. Into their business. Just talk to him. He trusts you. He brought luck. I sold a store for almost a million dollars. Into their family. He's a new man since you've been here. He brought happiness. Just to help him. No, you're not. You're more than that. And into their marriage, he brought passion. Hey, what's going on in there? Came alone, got the right time. That's some mom, huh? I was in high school. All my friends had the hots for her. He knows. Where are you going? Heek, Heek. I'm walking out of here. Where's the boss? What's going on, Joe? We got a problem. Say my name."
umjwm08s104,999,2 Days in the Valley (1996)," You have one minute to decide the rest of your life. On the day it happened, two vice cops were doing their duty. This is a nice place to live. I would like to keep it that way. A woman was living on the edge of a house. She was a little girl. She was a little girl. She was a little girl. I would like to keep it that way. A woman was living on the edge. You've never done that before. An art dealer was falling apart. Oh! Oh! And a director was ready to call it quits. But a murder... When did you let them sit down? ...to bring them all together. Get comfortable. Help! Help! He's dead and I need to call the police. Lady, we are the police. This is where you get out. You always stay around. You kill them. A story of intrigue. What's going on? This guy's holding us hostage. Greed. What are you gonna do? I don't know where to get our money. Surgery. You don't have to be that homely. I'd pay for implants and liposuction, but don't take it as an insult. Ah! Coincidence. My partner and I discovered this crime scene this morning. I think that Becky Fox might be in on this. Really? Captivity. You got any pasta here? Any marinara sauce? You want us to cook for you? No, no. I'll cook. I'll cook. Rivalry. I mean, I know we're valet detectives, so we're not all that bright, but how stupid does he think we are? Bravery. Go ahead. Shoot me. What are you, crazy? I think he's suicidal. We all have our flaws. Dogs. He's not vicious. He just wants to fetch. He's waiting for you to throw the gun. And ammunition. I'm a police officer. Stay where you are. What the hell's going on up there? Maybe that's how they make law but not that. No! Ten people in L.A. One moment in time. Time's up. Two days in the Valley. Oh! Another dog!"
IgNXkUUZ6vU,1000,Curdled (1996)," Somewhere in the city, a serial murderer is about to strike again. Tonight, we profile the reign of terror of Miami's blue blood killer. But there's one woman in town. You had a job like this before? No. You're not a gore hound, are you? Who knows more about the killer than anyone else. You can see exactly how it happened. Scrub. And this is one mess she can't clean up so easily. There's a name by the body. You? Yes. Point and Tarantino's Rolling Thunder Pictures presents William Baldwin. Why don't you show me what you know? The first time was here. Yes, Carrie. In Curdle, a movie that goes right for the jugular. You chopped off her head in front of the mirror? This is horrible. I know. The New York Post says Baldwin is menacing, dazzling and dangerous. Don't stop looking at me. A cutting-edge thriller. It's a dangerous place for a little girl."
azarSvXE0DA,1002,Ed's Next Move (1996)," Or I try to find a talk show Just between me and you Every word they say is true Someone speaks to me Someone tries to tell me something I believe them I believe in the power of the spoken word Everything that I have ever heard Makes sense to me If you've got a better way Then set me down and tell me what to do And I'll believe you too I'll believe in you Applause I don't think there's anything left for us to do Hi Did you hear us? Yeah, it was good Well, we could always use some more Listen, can I buy you a drink? Uh... Should we meet up, right? About ten minutes? Yeah Okay, fine I don't know the time I don't know the time I don't know the time I don't know the time I don't know the time I don't know the time I don't know the time I don't know the time I don't know the time I don't know the time I don't know the time I don't know the time I don't know the time I don't know the time I don't know the time And I don't know the day of the week Or the month Or the year Or my name I don't understand Why it seems so important To be somewhere when you're not sure why you came I broke my watch when I put up my calendar I left my map on the roof of my car I need somebody to make it seem worth it To search for a light switch or reach for a star Would you be my clock if I promised not to hang you too close to me? Would you be the window or the picture of the pope? I won't set you back and I won't push you forward I just wanna look in your face and see hope There's so much to do and so much time to do it Try hard to concentrate, try hard to think I've got a new oven that cooks food in 12 seconds Now I'm eating so quick I've got hours to drink Time's unpredictable just when you think That you've learned how to save it You spend all day on hold I need someone who can show me the difference Between using it wisely and just growing old I'm sorry Okay, see you tomorrow, Lee Yeah, I'll see you tomorrow Good luck You twisted your ankle, I carried you You got a divorce, so I married you You fell off a cliff, so I buried you I wish there were more bad times to see through You never had rabies, you never gained weight You never came home with a scar You never drank poison, you notched what you ate You never so much as put a scratch on my car So many things did go wrong But the list is not long enough Not enough bad things to fill up a song You twisted your ankle, I carried you You got a divorce, so I married you You fell off a cliff, so I buried you I wish there were more bad times to see you through Thank you I'm sorry I'm sorry I'm sorry Thank you, Gene I feel lucky"
SBRFmU-3mf8,1003,Extreme Measures (1996)," Dr. Marek? Yes. Can I ask you a question? White male, forties, convulsions, high fever, pulse, pressure and vitals and total disarray. And who are we talking about here? It's just a patient of mine now. Did you do a spinal tap? Oh no, he died on us. What about post mortem? Believe it or not, we seem to have lost the body. Well that never helps. I'm looking for an autopsy report on a patient called Claude Minkins. I have no record of this man. Someone has deleted all his stuff out, right? You mean on purpose? I'm your boss and I'm telling you, drop this thing. What are they doing with all these people? What do you mean all these people? Six thousand people underground. Could be twice that. Someone's looking for healthy subjects. Why us? They think you won't be missed. They're taking people, they're hijacking them from the hospital and using them for some kind of research. Please pick up this whole thing, it's huge. Do you think we're keeping ourselves healthy so you can kill us one by one? Listen to me, I'm on my own, I am not killing anyone. What happened to you? I can prove this whole thing now, Joey. Come on, Doug, move it. How did you know I was a doctor? Do the work. We need human subjects. And most of them will die. I'm doing medicine here no one's ever dreamed of. You're killing people. Ellen hasn't walked for 12 years. I can cure her and everyone like her. Great doctors have the guts to do the right thing. You tortured and murdered those men upstairs. If you can cure cancer by killing one person, wouldn't you have to do that? It's your call, Guy."
MGQ5Nq7r-Ho,1004,"Glimmer Man, The (1996)"," To those he pursued, he was known only as the Glimmer Man. They'd see nothing but shadows, then a glimmer, then... He's always followed his own path and worked alone until now. Uh, Mr. Lovebeads, you're gonna have to seek high enlightenment somewhere else. They don't see eye to eye. This guy's weird. Drop the gun. I can't fight. This is not the time I wanna hear that. I got soul! One minute there, I forgot you told me you can't fight. So, against my religion, I'm a beauty. And I'm super bad. They use different methods. Once in a while you should cry, cause like, it cleanses the soul. If I need a cleansing, I have a brain muffin. But on this case... I'm afraid that we can't even find this killer, so I don't have to be with your crazy ass much longer. Opposites do attract. Taste of the country. I'm a little bit rockin' on. Why don't we just get you some red boots in the cape and you can fly around the city and stop all the crime? Take your little sensitive ponytail and your little sissy beads and get out of here. Warner Brothers presents... Steven Seagal. I have something that will completely clear up that bruise on your forehead. What bruise? That bruise. Keenan Ivory Wayans. Please have some tea. I'm very bitter when I'm out. Do you know I'm black? You'll learn well, grasshopper. The Gitter Man."
_1OJoYCDw-g,1005,D3: The Mighty Ducks (1996), I'm not gonna be your coaches here Charlie. I just got the official word. The junior goodwill games committee is naming director player personnel. I'm gonna be in charge of their junior hockey program worldwide. Well don't go. My name is coach O'Ryan. Let's do what that C on your jersey stands for. Sure doesn't stand for captain. It's not just about hockey. JV varsity games on Friday. Then we'll show the whole school what a joke you really are. Then maybe you'll leave on your own. It's total crap. Can't play for this drill sergeant. Play for us Charlie. The ducks. Come on man. This is the peewees. Your little duck tricks are not gonna work at this level. You guys are not skating like warriors. You're not kids. Little ducks anymore so I'm not gonna treat you that way. Listen I'm not a defenseman. I'm a scorer. Don't be careless but don't be too careful either. You cannot be afraid to lose.
9Qu4LuSdbTo,1006,"Chamber, The (1996)"," 30 years ago in a small southern town, a crime was committed. So far, all that's been recovered are the bodies of two small children. A killer was apprehended. Did he do it? Oh, he did it. There's no question that he did it. Not a good day to see Sam. Why's that? He dies in 28 days. But the truth is still at large. How many death penalty cases have you had? This is my first, but I am going to save you. You don't look like you could save a turkey from Thanksgiving. Why in the world would he hire you? Sam Cahall's my grandfather. What do you expect to find here? Hope Grandpa do good? I don't know what I expected. Sure you did, grandson. Behind a past... I'm here to defend your father. I understand. I understand nothing. No one wants to remember. There's some things I can talk about and there's some things I can't talk about. Are you hiding something from me? And a crime no one can forget. I have always found it very difficult to believe he acted alone. Mises' secret... Oh my God. What's RW? You mean who's RW? Someone will kill to protect. You have no idea what you're doing. And maybe someone else planted the bomb. You spent half as much time learning to be a lawyer instead of playing Dick Tracy. I might stand a chance of not being dead in five days. I saw the commission's files. You were with someone named RW. The two of you were assigned to bomb the Kramer office. It don't mean nothing! Shut up about me! You're the only person on this earth that gives a damn whether you live or die. Now you said you were interested in new information. Granted stay. Give me more time. I just don't want you sifting through the ashes because I'm not sure what else you might turn out. You're very careful. Dredging the past out. You might not like what comes up. Why are you doing this? Because my life would be a lot easier if I could just hate you. What do you think you're doing here? You touch my kid again. I'll kill you! Let justice be served. It ain't over, sonny. It ain't over. And after it is, always look behind you. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry."
GnS0_UTEayY,1007,"Apple Dumpling Gang, The (1975)"," A real live one. They were feared by no one. All right. Maybe we could head them off the path. Mm-hmm. Scared by anyone. That is the most humiliating thing that's ever happened to me. And were considered the clumsiest desperados that ever graced the Old West. You two couldn't take candy away from a baby without coming out on the short end. But when they're persuaded to help a pack of conniving orphans rob a bank. We want you to have our gold nugget. All you gotta do is take it out of the bank. Little do they know, they're about to make outlaw history. Hey, don't nobody know this is a holo. Tim Conway and Don Knot star in the outrageous western comedy, The Apple Dumpling Gang."
AFN_1Ju7Hak,1008,"Davy Crockett, King of the Wild Frontier (1955)"," So they sent him off to Washington town With his best-dressed suit, still his buckskins brown A living legend of growing renown Davey, Davey Crockett The King's rank congressman Good morning. Good morning. Just a minute, your honor. Hiya, Davey. You old bushwacker. I wondered when you were going to show up. Old bar rest for you. How are you? Hey, I put up with your singing them lies about me But printing them for everybody to read is going too far. Well, they helped put you here, didn't they? Yeah, and now I got to live up to them. You think I'm going to dress like any self-respecting congressman? No. I got to go in there like the king of the wild frontier, thanks to you. Davey, that's downright ungrateful. Here I come all the way from the old bay on the river Just to wish you luck on your maiden speech. Well, you just get yourself up there in the gallery. You're going to hear a real gutter. I'm David Crockett, fresh from the backwoods. I'm half horse, half alligator, and a little tetched to a snapping turd. I got the fastest horse, the prettiest sister, the surest rifle, and the ugliest dog in Tennessee. My father can lick any man in Kentucky, and I can lick my father. I don't hug a bear too close for comfort and eat any man alive, opposed to Andy Jackson. Now, some congressmen take pride in saying a lot about nothing, like I'm doing right now. Others don't do nothing for their pay, but just listen, day in and day out. I wish I may be shot if I don't do more and listen. And the next time I get up before you, I'll have something to say worth saying."
lhxWtjTFRxs,1009,Escape to Witch Mountain (1975)," Escape to Witch Mountain, the two-hour Disney box office hit comes to TV for the first time as two orphans search for the secret to their magical powers. Kim Richards stars Sunday. Then, at last, on television, Irwin Allen's The Towering Inferno. Paul Newman, the architect. We got a fire here! Steve McQueen, the fire chief. It's out of control. And it's coming your way. There's no way down. A spectacle of blazing suspense with Robert Wagner, William Holt, Fred Astaire, Susan Blakely, Faye Dunaway, O.J. Simpson, the original blockbuster that won three Academy Awards. The Towering Inferno, a double feature night. Escape to Witch Mountain, then The Towering Inferno. Sunday."
KHoSXE9nIHg,1010,"Love Bug, The (1969)"," Buckle up. I can't do anything with it. Herbie, that superstar car, is back and unpredictable as ever. Look out! For the joyride of your life, he's the little bug, full of high-speed hijinks with a mind of his own. Yes! The Love Bug from Walt Disney. Herbie takes gas from nobody."
VfBzeLChAzw,1012,Old Yeller (1957)," You Oh It was him what done what what stole all the eggs and bread and meat and stuff you old rascal you been stealing Maybe we better take to pinning him over We can't just shoot him like he was nothing don't you understand It's better boy, come on it's time to eat No, we've got to do it he was my dog"
yu0t4bfp_Zo,1013,"Parent Trap, The (1961)"," It began with an incredible resemblance, a remarkable coincidence. It's my mother. It's my mother, too. An extraordinary discovery. Garland! Sisters! And now, Susan and Sharon, two twins separated since they were babies, have an ingenious plan to get their parents back together. Switch! We can do it! It's double the trouble and three times the laughs when Hayley Mills and Hayley Mills team up to spring the parent trap. Surprise! Exclusively on the Disney Channel. Subs by www.zeoranger.co.uk"
XVtLP5tfpCA,1014,Pollyanna (1960)," I have to think about what I've been trying to get you baptized for the past three years. Darling, listen honey, you've got to hurry. Hurry, hurry, right this way ladies. It's life, it's lovely. There you are folks, the finest watermelon out of penniest life. Oh my God."
U8LO9hRL3fQ,1015,Homeward Bound: The Incredible Journey (1993)," Home video. I'm gonna miss you so much. Left behind with family friends. Have a nice vacation! And far from their home, three beloved pets take matters into their own paws. Each shadow. Something doesn't smell right. She's sassy. Cats rule and dogs drool. He's chance. Get a life, get an item. Now they're determined to find their way back. I'm going home. Wait! They're off on an adventure they'll never forget. Oh, this ground isn't nearly soft enough. Don't be such a sissy sassy. It's an untamed world full of surprises. What's that smell? Woo hoo hoo hoo! I never thought anything could smell too much. Hey you! Where nothing comes easy. Hey, hey, Scram, get your own fish. Careful, Puff. Help! And danger waits at every turn. I gotta tell you, domesticated animals wouldn't stand a chance at you. Where the forces of nature will test their ability to survive. It will be an incredible journey home. Hey guys, wait up. Come on! Home is just over that mountain. Critics agree. Two thumbs up says Cicely Lebert. A masterpiece of family entertainment says ABC TV. In the classic tradition of Walt Disney Entertainment comes... Homeward Bound. The Incredible Journey. you"
TiJOBf9WKBA,1016,"Shaggy Dog, The (1959)"," Oh Melby! Melby! Melby! What's the big idea? Get down! Now don't give me trouble, Mooch. You've got trouble. Look at yourself. Oh, no, no! Not here, not now. Please! Melby, are you all right? Oh, boy, you're a dog again. What are you so happy about? Gosh, Wolby, you know you're a lot more fun as a dog than you are as my bread. Ah, shut up and get me out of here."
QfqVYCRdtdc,1018,That Darn Cat! (1965)," Watch out! There he is! Oh! It's coming at Christmas time! From Walt Disney! It's Walt Disney's hilarious new comedy motion picture, That Darn Cat! Yes, watch out when this cool cat, on his nightly neighborhood prowl, happens in on this hapless victim of a kidnapping, held captive by this bumbling pair of riotous rat-finks. And be on the watch for a watch that's loaded with intrigue, when that darn cat gets tagged with a timely S.O.S. for help. Then watch out for the wildest when it's Hayley Mills who gets the message. DC's wearing a wristwatch. When she collars that flabbergasted FBI man, Dean Jones. When she clobbers romance for Dorothy Provine. I want my duck! Then Hayley goes underground to become a self-appointed super agent for the FBI. Touching off the giddiest game of gumshoe-a-go-go that ever bugged the trail of an undercover cat, That Darn Cat! Then stand by for action when she kibitzes with the chief of federal security. Kelso, I want you to set up a surveillance and tail this cat. Tail the cat? There he goes! It's a cataclysmic comedy riot! Hot on the track of the coolest undercover cat that ever foiled a kidnapping. Come back here, you darn cat! Watch out! For that darn cat! It's a cataclysmic comedy riot from Walt Disney! That... cat! It's coming at Christmas time from Walt Disney!"
00bin2vxgGE,1019,"20,000 Leagues Under the Sea (1954)"," Coming soon on DVD. Surfacing for the first time ever on a two-disc Disney DVD, the underwater adventure that started it all. Disney presents 20,000 Leagues Under the Sea, the special edition. Immerse yourself in all the action with fully restored, digitally enhanced picture and sound. This is what I've been waiting for. And dive into new depths of imagination with over three hours of all new Never Before Seen bonus features, including touring the Nautilus and take a look behind the scenes at Never Before Seen footage. Wonders have defied my powers of description. This seafaring family classic is a must-own for any DVD collection. I'm a collecting fool. 20,000 Leagues Under the Sea, the special edition. Grab your copy on Disney DVD May 13."
ThOtoGV6ylU,1025,"Sword in the Stone, The (1963)"," I can't be a king Archimedes. I don't know anything about ruling a country. I told you to leave the thing in the stone, boy. I'll run away. That's what I'll do. They'll just have to get somebody else. Better take the side door, Wart. Out the side door. Hail, King Arthur! Long live King Arthur! There's another door. Over there. Come on. Long live King Arthur! Looks like we're surrounded, boy. Oh, Archimedes, I wish Merlin was here. Merlin! Merlin! Oh, Merlin, you're back from Bermuda. Bermuda? Yes, back from Bermuda and the 20th century. And believe me, you can have it. Hail, King Arthur! You"
fERE7bGPwmo,1027,Robin Hood: Prince of Thieves (1991), You There was a time when the only way to uphold justice was to break the law Kevin Costner is Robin Hood Prince of Thieves
vUW0a_I3kxU,1030,Pete's Dragon (1977)," He's back. Walt Disney Productions' invisible, impossible, troublesome massive mischief Pete's Dragon. A motion picture full of adventure. And excitement. Beware of the evil Dr. Terminus and his helper Hoagie. Hide from the mean. Goagies. Family of wicked wackos. Share an irresistible secret with Lampy. Dragon! Celebrate with Nora, a newfound friend. And live it up with the funniest, most lovable dragon alive. Elliot. Elliot. Elliot. Elliot. My dragon. The best pal a boy could ever have. I love you too. Sing. Dance. And laugh. With a wonderful motion picture. Walt Disney Productions' Pete's Dragon. Wow, that's great. You're the most wonderful dragon in the whole world. You're never too old to feel young. Pete's Dragon."
8xHM7TNxg3s,1031,Bedknobs and Broomsticks (1971)," How did she do that? Of course she's a witch. That's the sort of thing witches do. Sound the advance! The The The The The Substitutionary locomotion Lovely substitutionary locomotion You've made substitutionary history We're the We're the Here she comes in the most enchanting role of her career You're not suggesting that I should take these children into my house. Exactly. The incomparable Angela Lansbury As Miss Eglantine Price, the apprentice witch Who's taking a correspondence course in witchcraft And funny man David Tomlinson as the lovable London con man. Please note the name, ladies and gentlemen, Professor Emilius Brown. I am here to divert, to amuse, and yes, even to help you. In Walt Disney Productions' super magical motion picture, Bedknobs and Broomsticks. I like you better as a rabbit, Charlie. Together, they lead three homeless cockney waifs. Shh. Bedk take us to the island of Nabumba. Through a world of magic. More fantastic than anything you've ever seen before. Delivery, Apogee, delivery! I bet she's not a wicked witch. Of course I'm not. Say? You see, the work I'm doing is so important to the war effort. Hold, hold, God, that is good! Portobello Road, Portobello Road. A street where the riches of ages are stowed. Anything and everything a chap can unload is sold off the barrow in Portobello Road. It's lovely bobbing along, bobbing along through the water where we get along swimmingly. Bobbing along, singing a song on the bottom of the beautiful briny shimmery shiny beautiful briny sea."
LTvHS2INnvo,1032,Alice in Wonderland (1951)," Walt Disney Home Video cordially invites you on a very special journey down a rabbit hole and through the talking door into a world of breathtaking beauty and fantastic imagery. It's Alice in Wonderland. Walt Disney's masterful animated classic is now on videocassette. Don't wait. Take a videocassette home today and see the White Rabbit. Tweedledee and Tweedledum. Oh! What's my hand? Queen of Hearts. A Cheshire cat. And of course, the marvelous Mad Hatter. Ah! Charlie Lutedate. So come along and experience the greatest achievement in animation since Fantasia."
LhV6BBvt8Vs,1033,"Fox and the Hound, The (1981)"," You're my very best friend. For the first time in High Definition. The Fox and the Howl. We will always be friends forever, won't we? Yeah, forever."
TujjYkFcmho,1034,Freeway (1996)," from executive producer Oliver Stone meet Vanessa Lutz. The cat drinks milk. I love you so much, Chopper. I love you too, baby. Her dad just doesn't get it. Larry, get your goddamn hands off my anatomy. Her mom is clueless. You don't know nothing about nothing. You don't know a goddamn thing about nothing. And her life is no fairy tale. You having some kind of trouble? This is a story of A, murder. He's the guy that's been killing all them girls on the freeway, Bob. You gonna do sex to me now? B, revenge. You accept Jesus Christ as your Lord in person and slavery. I want that little monster to pay for this. Right now, we're the best friends you've got. I'm so sure. C, betrayal. You don't believe we're your friends. I believe you're out to ruin me. D, survival. Back in the hole, I decided all I need to live was my will. E, all of the above. I had this problem with anger. I didn't have the balls! We need to put an end to the system that lets dangerous, violent thugs be prosecuted as juveniles. Holy shit. Look who got beat with the ugly stick. Kiefer Sutherland, Reese Witherspoon, Brooke Shields, Amanda Plummer. Freeway. Why are you doing this? I'm pissed off and the whole world owes me."
LuBu4eDXWg8,1035,"Sound of Music, The (1965)"," Sunday as your family gathers for the holidays, start a new family tradition at Our House. Come home for the holidays. Our House. Then The Sound of Music starring Julie Andrews and a special holiday treat for the whole family. Winner of five Academy Awards. The Sound of Music, Sunday. Tuesday, Hill Street's serial killer becomes Joyce's client. If you're trying to frighten me, I want you to stop it. But a vigilante is the jury. Where'd they take it? Hill Street, Tuesday."
2TQ-pOvI6Xo,1036,Die Hard (1988)," It's Christmas Eve in L.A. Is Daddy coming home with you? Well, we'll see what Santa and Mommy can do, okay? A New York cop, John McLean, has come to see his wife. I missed you. Instead, he's going to have to save her. Sit down. Uh-oh. Within this skyscraper high above the city, 12 terrorists have declared war. They're about to be taught a lesson in the real use of power. There is brilliant... Because I am interested in the $640 million in your vault. As they are ruthless. But I'm telling you, you're just going to have to kill me. Okay. We do it the hard way. Now, the last thing McLean wants. Think, damn it, think. Is to be a hero. Where's Holly? Hey, Tucker! Where? But he doesn't have a choice. What does he think he's doing? Good job. They have already killed one hostage. This channel is reserved for emergency calls only. Lady, do I sound like I'm one of the pieces? He's inside? Who is he? He's not with you, I say! Who are you then? You are most troublesome for a security guard. Sorry, wrong guess, huh? Would you like to look for double jeopardy? Do you really think you have a chance against us, mystic cowboy? Yippee-ki-yay, mother... But you just destroyed a building. I am in charge of this situation. I got some bad news for you. Come up here, it doesn't look like you're in charge of check. He is alone, he is tired, and he hasn't seen a decent squad from anybody down here. Hey pal, how you feeling? Little things being equal, I'd rather be a total hero. And you'll have it. Only John can drive somebody that crazy. He's an easy guy to like. Come out to the coast, we'll get together, have a few laughs. And a hard man to kill. Bruce Willis, die hard. Got invited to the Christmas party by mistake. Who knew?"
YCxFGxqLsHE,1037,"Lawnmower Man, The (1992)"," From the imagination of Stephen King comes the story of a man Yo! Come on, boy, let's go. Grass is waiting for ya. with the mind of a child Yeah, Cybo-Man. He came to see me. Cybo-Man? Comics, right? Yeah, Cybo-Man. And a doctor Virtual reality holds a key to the evolution of the human mind with a vision of the future I have a game in my house that you might like to play. Would you like that? Yeah? Okay. That was really bad. I have different games. I even have one that could help make you smarter. Now, Job Smith is about to enter the world of virtual reality. Ah! It's gonna hit me! No, no, no, Job, just relax. It's gonna be like being up there with the stars, Job. They're going to another planet. His mind is like a clean, hungry sponge. I just graduated to the next level, Job. Ha ha ha ha ha! You're not the one for me yet. Well, you've certainly changed. I don't know how you did it, but I approve. I absorbed Latin yesterday in less than two hours. Job, where are you? Job! Job! A world where the normal course of events can suddenly turn inside out. You realize, Dr. Rangelow, that my intelligence has surpassed yours? The imaginary becomes real. Trying to get inside my head, Job. You can't hide anything from me, Dr. Rangelow. In reality... We have no idea what he's gonna do. ...is all in your mind. Stephen King. No! No! The Lawn Mower Man."
9daIbBlaEIA,1038,Unhook the Stars (1996)," After 30 years of motherhood, Mildred Hawks has earned some time to herself. Her kids have moved on, and her house is peaceful and calm. There are plenty of people who probably need this job. But her life isn't going to be quiet for long. Now. You don't know me, but I live across the street. 1044. My name is Warren. We're the Warrens. The neighbors no one would want. JJ's father's been unexpectedly called out of town. I'm sorry. Whatever. He's just out of town. He's gone. I need someone to look after JJ while I'm at work today. Are becoming the friends she didn't know she needed. I'm Mrs. Hawks. You and I are going to have a good time. Remember to ride on the sidewalk. When you get to a street, just get off your bike and walk it across. I know. I don't know if this was such a good idea. Pick a Valium. And this friendship. Got us a babysitter on Saturday. Is going to take her places. You and me, sister, are going out. She never thought she would go. Guys, this is Mildred. This is my best friend. She's like a second mother to my JJ. So what do you think? About what? About that big male man who's staring at you. Now she's discovering it's never too late to start over. You a movie? And where to? Um, mom, what are you going to do? I don't know. You're nuts. You know that? Miramax Home Entertainment presents General. You're a real piece of work. 100%, woman. Fine. Academy Award winner, Marissa Tomei. Hey, I get the feeling you want me to stop talking. Want me to shut up? Yeah. And Gerard Diffidier. Let me help you in. Come on, I'll take you home. Perfectly fine. I got it! I had it! I had it! In a film by Nick Casavetes. I want to say thank you to you because you took care of me, helped my mom. You won't have to thank me. We're friends. Unhook the stars. I can't stand it. I want to know where you're going. It's a secret."
I2dB0Fp7yFE,1040,"Secret Agent, The (1996)"," In a time of danger, can you describe the person you gave the explosives to? In a world of intrigue, you're supposed to be agent provocateur, this is why I've sent for you. One young woman is about to be caught in a web of conspiracy. You probably know more about this bomb business than you're aware of. What bomb business? A deadly game of truth and lies. Where you been all day anyway? Nowhere. That will entangle everyone she loves. He'd do anything for you that boy. And betray everything she trusts. There was a man blown up in Greenwich Park this morning. They'll all be looking for me now. I can only help you if you tell me everything. What is going on? I was just standing there, waiting, and you heard the bang. I thought you were like father and son. You're supposed to be me, you've got, where would you be then? Will you help me? Only one of them was killed. I don't know. Did some pieces only add up to one body? Let's get out of here. Isn't this the way you can hide me? You're just as responsible as I am. Protect her. And we are saved. From... The Secret Agent."
YToU70X6O_Y,1041,Secrets & Lies (1996)," October Films presents Secrets and Lies, nominated for five Academy Awards. That's lovely. Including Best Picture. My name's Hortense Cumberbatch. Best Actress. That's a funny name, isn't it? Best Supporting Actress. What are your expectations? I just want to know. Best Screenplay. You know the party, Sunday. Can I bring a mate? And Best Director. She can't be the one that... The things you know nothing about. Secrets and Lies, rated R."
v3HER2IPuV4,1043,To Gillian on Her 37th Birthday (1996)," [""The New York Times""] Do you know about this weekend? An anniversary. It's THE anniversary. You are fixing me up with a man on the weekend anniversary of his wife's death, which also happens to be her birthday. I'm sure that we'll all laugh about it over there. Every year, the Lewis family celebrates Jillian's birthday. The plan is to get me over Jillian. It's been two years. I'm not over her. With music in the night. I love this song. Castles in the Sand. I wanna beat Megan Weeks. I've lost to her three years running. She's ungracious, she's arrogant. She's nine. And romance in the air. I feel like dancing. Daddy, hi. You're drunk. Say goodbye to Joey forever. Goodbye. Goodbye forever, Joey. Call me. But this year, Mommy. You talk to her like she's right in front of you. Uh, it's... Well, sometimes. There's someone unexpected at the party. You're okay, Mr. Man. I miss you. Go play with the live girl! Jillian! In your psychology classes, do they have a name for this kind of behavior? Oh, yes. He's nuts. He will be alright. It's just... He really loved her. To Jillian on her 37th birthday. Does Jillian appear to you out there on the beach? Yes, she does. You swim with her? Yes. Does she make it?"
eGLZtHk2oNQ,1044,Surviving Picasso (1996), [♪ Music up and Out ganzenlol and The Unallocated Yep' & teenage pro 괜찮아 [♪ content мойús d' prima advice and lashes and
3jRl-xZxyvQ,1046,Beautiful Thing (1996), ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
nVgdtcNwIGQ,1050,Looking for Richard (1996)," Al Pacino's Looking for Richard. Who's gonna say action around here? I don't want to. I do. Now is the winter of our discontent. Now is the winter of our discontent. Is the winter of our discontent. And for My Name of George begins with G, it follows in his thought that I and he is first name is really George. Who's first name? Clarence's. Cut! Cut! Fox Searchlight Pictures presents. Shakespeare, what do you know about Shakespeare? They're not gonna get Richard the Third, I can't even get Richard the Third. I'm doing this kind of Shakespearean acting. We're getting $40 a day and all the donuts we can eat on this project. Just tuned right out, we just kind of made out the back row. Al Pacino's Looking for Richard. She did a feature by dissembling nature. Deformed. Deformed. Deformed. I've been waiting for this moment before my time in this breathing world. At last! The King! What have I made to set my brother Clarence and the King in deadly heat? I am so far in love. What shall we do if Lord Hastings will not yield? Chop off his hair. What? Though I killed her husband and his father. Oh! You bow and you fit for any place but hell. You're bedchamber. Halt! I hear the throng! Fight, gentlemen of England! Fight, bloody riches! Ha ha ha ha ha ha ha ha."
